category,discounted_price,actual_price,profit_margin,rating,rating_count,total_rating_value,avg_discounted_price,avg_actual_price,avg_rating
Car&Motorbike|CarAccessories|InteriorAccessories|AirPurifiers&Ionizers,2339.0,4000.0,1661.0,3.8,1118,4248.4,2.092128801431127,3.5778175313059033,3.8
Computers&Accessories|Accessories&Peripherals|Adapters|USBtoUSBAdapters,443.0,5398.0,4955.0,4.15,5966,25191.8,0.07425410660408985,0.9047938317130405,4.222561180020114
Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCHeadsets,649.0,999.0,350.0,3.5,7222,25277.0,0.0898643035170313,0.13832733314871226,3.5
Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCMicrophones,1148.0,2499.0,1351.0,3.5999999999999996,17773,67632.3,0.06459235919653407,0.14060653800708942,3.805339560006752
Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCSpeakers,1498.0,2799.0,1301.0,4.05,12547,50707.5,0.11939108950346697,0.22308121463298,4.041404319757711
Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|Webcams&VoIPEquipment|Webcams,3880.0,8085.0,4205.0,4.199999999999999,31374,132713.0,0.12366928029578632,0.2576974564926372,4.230031236055332
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|CableConnectionProtectors,297.0,2997.0,2700.0,4.033333333333333,11543,47047.1,0.025729879580698257,0.25963787576886427,4.07581218054232
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|DVICables,499.0,1100.0,601.0,4.4,25177,110778.8,0.019819676689041586,0.043690670056003494,4.4
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|EthernetCables,525.0,1198.0,673.0,4.4,16448,72371.20000000001,0.031918774319066145,0.07283560311284047,4.4
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|SATACables,349.0,999.0,650.0,3.9,817,3186.2999999999997,0.42717258261933905,1.222766217870257,3.8999999999999995
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,84048.62,211103.32,127054.7,4.151931330472103,3547816,14921171.0,0.02369024210951188,0.05950233044780225,4.205734175616774
Computers&Accessories|Accessories&Peripherals|HardDiskBags,895.0,1997.0,1102.0,4.333333333333333,37603,167701.0,0.023801292450070472,0.05310746482993378,4.4597771454405235
Computers&Accessories|Accessories&Peripherals|HardDriveAccessories|Caddies,199.0,799.0,600.0,4.1,7333,30065.299999999996,0.027137597163507433,0.10895949815900723,4.1
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|GraphicTablets",6268.0,14529.0,8261.0,3.9818181818181815,37958,150834.3,0.16512988039411983,0.38276516149428313,3.9737156857579428
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MiceAccessories|DustCovers",154.0,1298.0,1144.0,3.4,20925,72099.1,0.007359617682198327,0.0620310633213859,3.4455961768219834
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MiceAccessories|MousePads",2949.0,7679.0,4730.0,4.375,32212,141728.1,0.09154973301875077,0.2383894200918912,4.399854091642866
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MouseSets",11887.0,17776.0,5889.0,4.05,161991,662725.6,0.07338061991098271,0.10973449142236297,4.091126050212666
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboards",6412.0,9287.0,2875.0,4.12,104394,429237.7,0.06142115447247926,0.08896105140142153,4.1117085273099985
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Mice",14624.0,25339.0,10715.0,4.2875000000000005,407289,1772057.7,0.03590570823174699,0.06221380886790461,4.35086069105721
Computers&Accessories|Accessories&Peripherals|LaptopAccessories,1399.0,2490.0,1091.0,4.3,11074,47618.2,0.12633194870868703,0.2248510023478418,4.3
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Bags&Sleeves|LaptopSleeves&Slipcases,2164.0,6094.0,3930.0,4.25,57791,246704.09999999998,0.0374452769462373,0.1054489453375093,4.268901732103615
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|CameraPrivacyCovers,367.0,597.0,230.0,4.3,21921,94260.3,0.016741936955430865,0.027234159025591897,4.3
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|CoolingPads,1598.0,2998.0,1400.0,4.1,35042,145656.2,0.04560241995319902,0.08555447748416187,4.156617772958165
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Lapdesks,9416.0,27236.0,17820.0,4.064285714285714,107177,440339.39999999997,0.08785467031172733,0.2541216865558842,4.108525149985538
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|LaptopChargers&PowerSupplies,4046.0,9340.0,5294.0,3.9799999999999995,27569,109571.0,0.14675904095179368,0.3387863179658312,3.9744277993398383
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|NotebookComputerStands,1247.0,4997.0,3750.0,4.3,30430,131232.3,0.040979296746631616,0.16421294774893197,4.312596122247782
Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|Gamepads,2697.0,6039.0,3342.0,4.266666666666667,64658,283790.0,0.04171177580500479,0.09339911534535557,4.389093383649355
Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|GamingKeyboards,5317.0,8798.0,3481.0,4.366666666666666,6402,27782.8,0.8305217119650109,1.3742580443611372,4.339706341768197
Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|GamingMice,5662.0,9737.0,4075.0,4.383333333333334,66068,290388.8,0.08569958224859237,0.14737845855784948,4.3953018102560995
Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|Headsets,3938.0,10297.0,6359.0,4.033333333333333,29479,121778.5,0.13358662098442958,0.3492995013399369,4.131025475762407
"Computers&Accessories|Accessories&Peripherals|TabletAccessories|Bags,Cases&Sleeves|Cases",1098.0,3998.0,2900.0,4.3,16562,71216.59999999999,0.06629634102161575,0.24139596667069194,4.3
Computers&Accessories|Accessories&Peripherals|TabletAccessories|ScreenProtectors,2790.0,7595.0,4805.0,4.18,27920,121489.8,0.09992836676217765,0.2720272206303725,4.351353868194843
Computers&Accessories|Accessories&Peripherals|TabletAccessories|Stands,149.0,499.0,350.0,4.1,25607,104988.7,0.005818721443355332,0.01948685906197524,4.1
Computers&Accessories|Accessories&Peripherals|USBGadgets|Lamps,524.0,1235.0,711.0,3.94,24667,91892.6,0.02124295617626789,0.05006689098795962,3.72532533344144
Computers&Accessories|Accessories&Peripherals|USBHubs,2765.0,4725.0,1960.0,3.94,24939,92999.1,0.11087052407875216,0.18946228798267772,3.729062913508962
Computers&Accessories|Accessories&Peripherals|UninterruptedPowerSupplies,3299.0,4100.0,801.0,3.9,15783,61553.7,0.2090223658366597,0.2597731736678705,3.9
Computers&Accessories|Components|InternalHardDrives,199.0,999.0,800.0,4.2,362,1520.4,0.5497237569060773,2.7596685082872927,4.2
Computers&Accessories|Components|InternalSolidStateDrives,6831.0,13200.0,6369.0,4.3999999999999995,98469,442304.6,0.06937208664655882,0.13405234134600738,4.49181569834161
Computers&Accessories|Components|Memory,1792.0,3500.0,1708.0,4.5,26194,117873.0,0.068412613575628,0.13361838588989844,4.5
Computers&Accessories|ExternalDevices&DataStorage|ExternalHardDisks,21101.0,27856.0,6755.0,4.3999999999999995,213112,946399.3,0.09901366417658321,0.13071061226022,4.440854104883817
Computers&Accessories|ExternalDevices&DataStorage|ExternalMemoryCardReaders,549.0,999.0,450.0,4.3,7758,33359.4,0.07076566125290024,0.12877030162412992,4.3
